match | center (  1,   1) | [["M", "M", "S"], ["M", "A", "S"], ["M", "M", "S"]]
match | center ( 94,   1) | [["M", "M", "M"], ["M", "A", "S"], ["S", "A", "S"]]
match | center ( 94,   5) | [["S", "S", "S"], ["S", "A", "A"], ["M", "M", "M"]]
match | center ( 94,   6) | [["S", "S", "S"], ["A", "A", "S"], ["M", "M", "M"]]
match | center ( 94,  11) | [["S", "A", "S"], ["M", "A", "S"], ["M", "S", "M"]]
match | center ( 94,  13) | [["S", "M", "S"], ["S", "A", "S"], ["M", "A", "M"]]
match | center ( 94,  27) | [["S", "M", "S"], ["S", "A", "A"], ["M", "M", "M"]]
match | center ( 94,  32) | [["S", "X", "S"], ["A", "A", "X"], ["M", "S", "M"]]
match | center ( 94,  46) | [["S", "M", "S"], ["S", "A", "M"], ["M", "A", "M"]]
match | center ( 94,  59) | [["M", "A", "S"], ["M", "A", "S"], ["M", "A", "S"]]
match | center ( 94,  61) | [["S", "M", "M"], ["S", "A", "A"], ["S", "M", "M"]]
match | center ( 94,  75) | [["M", "M", "M"], ["S", "A", "M"], ["S", "A", "S"]]
match | center ( 94,  96) | [["M", "A", "S"], ["X", "A", "A"], ["M", "M", "S"]]
match | center ( 94, 113) | [["M", "X", "M"], ["X", "A", "M"], ["S", "M", "S"]]
match | center ( 94, 115) | [["M", "M", "M"], ["M", "A", "X"], ["S", "M", "S"]]
match | center ( 95,   1) | [["M", "A", "S"], ["S", "A", "S"], ["M", "X", "S"]]
match | center ( 95,  13) | [["S", "A", "S"], ["M", "A", "M"], ["M", "X", "M"]]
match | center ( 95,  18) | [["M", "X", "M"], ["A", "A", "X"], ["S", "M", "S"]]
match | center ( 95,  24) | [["S", "M", "M"], ["X", "A", "A"], ["S", "M", "M"]]
match | center ( 95,  42) | [["M", "A", "S"], ["X", "A", "M"], ["M", "X", "S"]]
match | center ( 95,  64) | [["S", "M", "S"], ["M", "A", "A"], ["M", "S", "M"]]
match | center ( 95,  65) | [["M", "S", "M"], ["A", "A", "X"], ["S", "M", "S"]]
match | center ( 95,  67) | [["M", "S", "M"], ["X", "A", "X"], ["S", "M", "S"]]
match | center ( 95,  73) | [["M", "M", "S"], ["M", "A", "S"], ["M", "X", "S"]]
match | center ( 95,  75) | [["S", "A", "M"], ["S", "A", "S"], ["S", "A", "M"]]
match | center ( 95,  77) | [["M", "M", "S"], ["S", "A", "A"], ["M", "M", "S"]]
match | center ( 95,  78) | [["M", "S", "S"], ["A", "A", "A"], ["M", "S", "S"]]
match | center ( 95,  81) | [["S", "S", "S"], ["M", "A", "A"], ["M", "S", "M"]]
match | center ( 95,  85) | [["M", "M", "S"], ["A", "A", "A"], ["M", "S", "S"]]
match | center ( 95,  86) | [["M", "S", "M"], ["A", "A", "X"], ["S", "S", "S"]]
match | center ( 95,  89) | [["M", "S", "M"], ["X", "A", "A"], ["S", "M", "S"]]
match | center ( 95,  90) | [["S", "M", "S"], ["A", "A", "X"], ["M", "S", "M"]]
match | center ( 95, 102) | [["M", "S", "M"], ["M", "A", "X"], ["S", "M", "S"]]
match | center ( 95, 119) | [["S", "M", "S"], ["M", "A", "A"], ["M", "S", "M"]]
match | center ( 95, 120) | [["M", "S", "M"], ["A", "A", "A"], ["S", "M", "S"]]
match | center ( 95, 121) | [["S", "M", "S"], ["A", "A", "A"], ["M", "S", "M"]]
match | center ( 95, 122) | [["M", "S", "M"], ["A", "A", "M"], ["S", "M", "S"]]
match | center ( 95, 133) | [["M", "X", "S"], ["S", "A", "S"], ["M", "A", "S"]]
match | center ( 96,   8) | [["M", "M", "M"], ["A", "A", "X"], ["S", "X", "S"]]
match | center ( 96,  35) | [["S", "S", "S"], ["M", "A", "M"], ["M", "A", "M"]]
match | center ( 96,  39) | [["S", "M", "S"], ["X", "A", "A"], ["M", "A", "M"]]
match | center ( 96,  50) | [["M", "M", "M"], ["M", "A", "X"], ["S", "S", "S"]]
match | center ( 96,  53) | [["S", "A", "S"], ["M", "A", "M"], ["M", "S", "M"]]
match | center ( 96,  57) | [["S", "M", "M"], ["X", "A", "X"], ["S", "S", "M"]]
match | center ( 96,  97) | [["M", "S", "S"], ["X", "A", "X"], ["M", "M", "S"]]
match | center ( 96, 108) | [["M", "S", "S"], ["A", "A", "A"], ["M", "S", "S"]]
match | center ( 96, 109) | [["S", "S", "M"], ["A", "A", "X"], ["S", "S", "M"]]
match | center ( 96, 112) | [["M", "S", "M"], ["X", "A", "A"], ["S", "M", "S"]]
match | center ( 96, 113) | [["S", "M", "S"], ["A", "A", "A"], ["M", "S", "M"]]
match | center ( 96, 114) | [["M", "S", "M"], ["A", "A", "A"], ["S", "M", "S"]]
match | center ( 96, 115) | [["S", "M", "S"], ["A", "A", "S"], ["M", "S", "M"]]
match | center ( 96, 129) | [["S", "M", "S"], ["M", "A", "A"], ["M", "S", "M"]]
match | center ( 96, 131) | [["S", "X", "S"], ["A", "A", "M"], ["M", "X", "M"]]
match | center ( 96, 133) | [["S", "A", "S"], ["M", "A", "S"], ["M", "A", "M"]]
match | center ( 96, 135) | [["S", "A", "S"], ["S", "A", "M"], ["M", "A", "M"]]
match | center ( 97,   3) | [["S", "X", "M"], ["M", "A", "S"], ["S", "X", "M"]]
match | center ( 97,  13) | [["M", "X", "M"], ["M", "A", "S"], ["S", "A", "S"]]
match | center ( 97,  15) | [["M", "A", "M"], ["S", "A", "X"], ["S", "M", "S"]]
match | center ( 97,  20) | [["S", "A", "M"], ["A", "A", "M"], ["S", "M", "M"]]
match | center ( 97,  32) | [["S", "A", "M"], ["S", "A", "X"], ["S", "A", "M"]]
match | center ( 97,  35) | [["M", "A", "M"], ["M", "A", "M"], ["S", "S", "S"]]
match | center ( 97,  63) | [["M", "M", "S"], ["M", "A", "X"], ["M", "A", "S"]]
match | center ( 97,  80) | [["S", "M", "S"], ["A", "A", "X"], ["M", "A", "M"]]
match | center ( 97,  82) | [["S", "M", "S"], ["X", "A", "A"], ["M", "S", "M"]]
match | center ( 97,  83) | [["M", "S", "M"], ["A", "A", "A"], ["S", "M", "S"]]
match | center ( 97,  84) | [["S", "M", "S"], ["A", "A", "X"], ["M", "S", "M"]]
match | center ( 97,  87) | [["S", "S", "S"], ["X", "A", "M"], ["M", "M", "M"]]
match | center ( 97, 103) | [["M", "S", "M"], ["M", "A", "M"], ["S", "A", "S"]]
match | center ( 97, 120) | [["S", "M", "S"], ["M", "A", "X"], ["M", "X", "M"]]
match | center ( 97, 122) | [["S", "M", "S"], ["X", "A", "A"], ["M", "S", "M"]]
match | center ( 98,  10) | [["S", "M", "M"], ["X", "A", "X"], ["S", "S", "M"]]
match | center ( 98,  13) | [["M", "A", "S"], ["S", "A", "S"], ["M", "A", "S"]]
match | center ( 98,  54) | [["S", "M", "S"], ["X", "A", "X"], ["M", "X", "M"]]
match | center ( 98,  56) | [["S", "S", "S"], ["X", "A", "M"], ["M", "X", "M"]]
match | center ( 98,  60) | [["M", "A", "S"], ["M", "A", "M"], ["M", "A", "S"]]
match | center ( 98, 110) | [["S", "M", "S"], ["A", "A", "S"], ["M", "M", "M"]]
match | center ( 98, 112) | [["S", "M", "S"], ["S", "A", "M"], ["M", "S", "M"]]
match | center ( 98, 126) | [["S", "M", "M"], ["S", "A", "X"], ["S", "X", "M"]]
match | center ( 98, 128) | [["M", "M", "S"], ["X", "A", "X"], ["M", "A", "S"]]
match | center ( 98, 133) | [["M", "A", "M"], ["M", "A", "X"], ["S", "M", "S"]]
match | center ( 99,  13) | [["S", "A", "S"], ["M", "A", "S"], ["M", "A", "M"]]
match | center ( 99,  15) | [["S", "M", "S"], ["S", "A", "M"], ["M", "M", "M"]]
match | center ( 99,  18) | [["M", "M", "S"], ["X", "A", "A"], ["M", "S", "S"]]
match | center ( 99,  19) | [["M", "S", "M"], ["A", "A", "A"], ["S", "S", "S"]]
match | center ( 99,  20) | [["S", "M", "M"], ["A", "A", "A"], ["S", "S", "M"]]
match | center ( 99,  21) | [["M", "M", "M"], ["A", "A", "A"], ["S", "M", "S"]]
match | center ( 99,  22) | [["M", "M", "S"], ["A", "A", "A"], ["M", "S", "S"]]
match | center ( 99,  23) | [["M", "S", "M"], ["A", "A", "A"], ["S", "S", "S"]]
match | center ( 99,  34) | [["M", "S", "S"], ["A", "A", "A"], ["M", "M", "S"]]
match | center ( 99,  35) | [["S", "S", "S"], ["A", "A", "A"], ["M", "S", "M"]]
match | center ( 99,  38) | [["S", "M", "S"], ["X", "A", "X"], ["M", "S", "M"]]
match | center ( 99,  60) | [["M", "A", "M"], ["M", "A", "S"], ["S", "M", "S"]]
match | center ( 99,  75) | [["M", "M", "S"], ["X", "A", "A"], ["M", "S", "S"]]
match | center ( 99,  76) | [["M", "S", "M"], ["A", "A", "A"], ["S", "S", "S"]]
match | center ( 99,  77) | [["S", "M", "M"], ["A", "A", "M"], ["S", "S", "M"]]
match | center ( 99,  85) | [["S", "M", "M"], ["M", "A", "S"], ["S", "A", "M"]]
match | center ( 99, 101) | [["S", "X", "S"], ["A", "A", "S"], ["M", "X", "M"]]
match | center ( 99, 103) | [["S", "A", "S"], ["S", "A", "M"], ["M", "S", "M"]]
match | center ( 99, 105) | [["S", "M", "S"], ["M", "A", "A"], ["M", "S", "M"]]
match | center ( 99, 106) | [["M", "S", "M"], ["A", "A", "X"], ["S", "M", "S"]]
match | center (100,   4) | [["M", "M", "S"], ["X", "A", "M"], ["M", "X", "S"]]
match | center (100,  13) | [["M", "A", "S"], ["M", "A", "M"], ["M", "M", "S"]]
match | center (100,  47) | [["M", "M", "S"], ["S", "A", "M"], ["M", "M", "S"]]
match | center (100,  50) | [["M", "X", "S"], ["X", "A", "A"], ["M", "X", "S"]]
match | center (100,  63) | [["M", "X", "S"], ["M", "A", "X"], ["M", "M", "S"]]
match | center (100,  85) | [["M", "A", "S"], ["S", "A", "M"], ["M", "M", "S"]]
match | center (100,  87) | [["S", "X", "M"], ["M", "A", "X"], ["S", "A", "M"]]
match | center (100,  89) | [["M", "M", "S"], ["X", "A", "S"], ["M", "M", "S"]]
match | center (100, 130) | [["S", "X", "S"], ["M", "A", "M"], ["M", "M", "M"]]
match | center (100, 133) | [["S", "M", "S"], ["A", "A", "A"], ["M", "M", "M"]]
match | center (101,  15) | [["M", "M", "M"], ["S", "A", "M"], ["S", "A", "S"]]
match | center (101,  28) | [["S", "M", "S"], ["A", "A", "A"], ["M", "M", "M"]]
match | center (101,  70) | [["M", "A", "M"], ["M", "A", "M"], ["S", "X", "S"]]
match | center (101,  77) | [["S", "S", "M"], ["X", "A", "A"], ["S", "S", "M"]]
match | center (101,  78) | [["S", "M", "M"], ["A", "A", "A"], ["S", "M", "M"]]
match | center (101, 103) | [["M", "S", "M"], ["A", "A", "M"], ["S", "M", "S"]]
match | center (101, 115) | [["M", "M", "M"], ["M", "A", "S"], ["S", "M", "S"]]
match | center (101, 121) | [["S", "S", "M"], ["X", "A", "A"], ["S", "S", "M"]]
match | center (101, 122) | [["S", "M", "M"], ["A", "A", "M"], ["S", "M", "M"]]
match | center (101, 137) | [["S", "S", "M"], ["S", "A", "M"], ["S", "S", "M"]]
match | center (102,  34) | [["M", "M", "M"], ["M", "A", "X"], ["S", "M", "S"]]
match | center (102,  43) | [["M", "X", "S"], ["A", "A", "X"], ["M", "S", "S"]]
match | center (102,  45) | [["S", "M", "M"], ["X", "A", "X"], ["S", "M", "M"]]
match | center (102,  47) | [["M", "M", "S"], ["X", "A", "S"], ["M", "M", "S"]]
match | center (102,  50) | [["M", "X", "S"], ["X", "A", "A"], ["M", "M", "S"]]
match | center (102,  52) | [["S", "A", "M"], ["A", "A", "S"], ["S", "M", "M"]]
match | center (102,  85) | [["M", "M", "S"], ["A", "A", "X"], ["M", "S", "S"]]
match | center (102,  87) | [["S", "A", "M"], ["X", "A", "X"], ["S", "M", "M"]]
match | center (103,  19) | [["S", "S", "M"], ["A", "A", "M"], ["S", "M", "M"]]
match | center (103,  72) | [["S", "X", "S"], ["M", "A", "M"], ["M", "A", "M"]]
match | center (103, 101) | [["M", "M", "S"], ["M", "A", "M"], ["M", "M", "S"]]
match | center (103, 119) | [["M", "S", "S"], ["M", "A", "A"], ["M", "M", "S"]]
match | center (103, 120) | [["S", "S", "S"], ["A", "A", "A"], ["M", "S", "M"]]
match | center (103, 121) | [["S", "S", "M"], ["A", "A", "A"], ["S", "M", "M"]]
match | center (103, 123) | [["M", "M", "S"], ["A", "A", "M"], ["M", "S", "S"]]
match | center (103, 125) | [["S", "A", "M"], ["M", "A", "M"], ["S", "S", "M"]]
match | center (103, 128) | [["S", "M", "M"], ["M", "A", "A"], ["S", "S", "M"]]
match | center (103, 129) | [["M", "M", "M"], ["A", "A", "A"], ["S", "M", "S"]]
match | center (104,   2) | [["M", "M", "S"], ["A", "A", "A"], ["M", "M", "S"]]
match | center (104,   4) | [["S", "S", "M"], ["A", "A", "M"], ["S", "X", "M"]]
match | center (104,  25) | [["M", "S", "S"], ["M", "A", "A"], ["M", "M", "S"]]
match | center (104,  26) | [["S", "S", "S"], ["A", "A", "M"], ["M", "S", "M"]]
match | center (104,  28) | [["S", "S", "S"], ["M", "A", "S"], ["M", "A", "M"]]
match | center (104,  30) | [["S", "M", "S"], ["S", "A", "A"], ["M", "M", "M"]]
match | center (104,  38) | [["M", "X", "S"], ["M", "A", "X"], ["M", "X", "S"]]
match | center (104,  40) | [["S", "M", "M"], ["X", "A", "A"], ["S", "S", "M"]]
match | center (104,  41) | [["M", "M", "M"], ["A", "A", "A"], ["S", "M", "S"]]
match | center (104,  59) | [["S", "M", "S"], ["A", "A", "A"], ["M", "M", "M"]]
match | center (104,  60) | [["M", "S", "S"], ["A", "A", "A"], ["M", "M", "S"]]
match | center (104,  61) | [["S", "S", "S"], ["A", "A", "M"], ["M", "S", "M"]]
match | center (104,  70) | [["M", "X", "M"], ["A", "A", "M"], ["S", "X", "S"]]
match | center (104,  72) | [["M", "A", "M"], ["M", "A", "M"], ["S", "A", "S"]]
match | center (104,  79) | [["M", "M", "M"], ["M", "A", "X"], ["S", "A", "S"]]
match | center (104,  83) | [["S", "M", "M"], ["A", "A", "X"], ["S", "S", "M"]]
match | center (104,  93) | [["M", "S", "S"], ["X", "A", "A"], ["M", "X", "S"]]
match | center (104,  99) | [["M", "X", "M"], ["S", "A", "M"], ["S", "A", "S"]]
match | center (105,  28) | [["M", "A", "S"], ["M", "A", "M"], ["M", "A", "S"]]
match | center (105,  36) | [["S", "M", "M"], ["M", "A", "M"], ["S", "A", "M"]]
match | center (105,  63) | [["M", "S", "S"], ["M", "A", "M"], ["M", "A", "S"]]
match | center (105,  90) | [["M", "M", "M"], ["A", "A", "A"], ["S", "S", "S"]]
match | center (105,  99) | [["S", "A", "M"], ["S", "A", "S"], ["S", "A", "M"]]
match | center (105, 124) | [["S", "S", "S"], ["M", "A", "M"], ["M", "A", "M"]]
match | center (105, 130) | [["M", "S", "S"], ["M", "A", "M"], ["M", "M", "S"]]
match | center (105, 138) | [["M", "A", "M"], ["M", "A", "X"], ["S", "S", "S"]]
match | center (106,   8) | [["M", "M", "M"], ["S", "A", "A"], ["S", "M", "S"]]
match | center (106,  28) | [["M", "A", "M"], ["M", "A", "S"], ["S", "A", "S"]]
match | center (106,  41) | [["S", "M", "S"], ["M", "A", "M"], ["M", "S", "M"]]
match | center (106,  63) | [["M", "A", "M"], ["M", "A", "S"], ["S", "A", "S"]]
match | center (106,  72) | [["S", "A", "S"], ["A", "A", "M"], ["M", "X", "M"]]
match | center (106,  79) | [["S", "A", "S"], ["M", "A", "S"], ["M", "X", "M"]]
match | center (106,  81) | [["S", "M", "S"], ["S", "A", "X"], ["M", "X", "M"]]
match | center (106, 114) | [["S", "M", "S"], ["A", "A", "X"], ["M", "S", "M"]]
match | center (106, 116) | [["S", "X", "S"], ["X", "A", "A"], ["M", "X", "M"]]
match | center (106, 122) | [["M", "X", "M"], ["S", "A", "M"], ["S", "A", "S"]]
match | center (107,  13) | [["M", "A", "S"], ["A", "A", "X"], ["M", "S", "S"]]
match | center (107,  15) | [["S", "X", "M"], ["X", "A", "M"], ["S", "S", "M"]]
match | center (107,  19) | [["S", "M", "M"], ["A", "A", "S"], ["S", "A", "M"]]
match | center (107,  45) | [["S", "M", "S"], ["A", "A", "A"], ["M", "M", "M"]]
match | center (107,  47) | [["S", "S", "S"], ["A", "A", "X"], ["M", "M", "M"]]
match | center (107,  50) | [["M", "A", "M"], ["X", "A", "A"], ["S", "M", "S"]]
match | center (107,  77) | [["S", "A", "M"], ["M", "A", "M"], ["S", "A", "M"]]
match | center (107,  88) | [["S", "X", "S"], ["M", "A", "M"], ["M", "X", "M"]]
match | center (107,  90) | [["S", "S", "S"], ["M", "A", "A"], ["M", "M", "M"]]
match | center (107, 106) | [["S", "X", "M"], ["M", "A", "S"], ["S", "M", "M"]]
match | center (107, 120) | [["M", "X", "S"], ["A", "A", "S"], ["M", "X", "S"]]
match | center (107, 122) | [["S", "A", "M"], ["S", "A", "S"], ["S", "X", "M"]]
match | center (107, 137) | [["S", "S", "S"], ["M", "A", "A"], ["M", "M", "M"]]
match | center (107, 138) | [["S", "S", "S"], ["A", "A", "X"], ["M", "M", "M"]]
match | center (108,   8) | [["S", "M", "S"], ["M", "A", "A"], ["M", "S", "M"]]
match | center (108,  28) | [["S", "A", "S"], ["M", "A", "M"], ["M", "S", "M"]]
match | center (108,  65) | [["S", "X", "M"], ["M", "A", "M"], ["S", "A", "M"]]
match | center (108,  84) | [["M", "M", "S"], ["X", "A", "X"], ["M", "M", "S"]]
match | center (108,  86) | [["S", "S", "M"], ["X", "A", "M"], ["S", "M", "M"]]
match | center (108,  94) | [["S", "S", "M"], ["M", "A", "A"], ["S", "M", "M"]]
match | center (108, 102) | [["M", "X", "S"], ["M", "A", "M"], ["M", "M", "S"]]
match | center (108, 109) | [["M", "M", "S"], ["X", "A", "A"], ["M", "A", "S"]]
match | center (108, 111) | [["S", "M", "M"], ["A", "A", "S"], ["S", "X", "M"]]
match | center (108, 132) | [["S", "X", "S"], ["M", "A", "S"], ["M", "A", "M"]]
match | center (109,  12) | [["S", "M", "S"], ["M", "A", "X"], ["M", "M", "M"]]
match | center (109,  23) | [["M", "A", "S"], ["X", "A", "S"], ["M", "A", "S"]]
match | center (109,  52) | [["S", "A", "S"], ["A", "A", "X"], ["M", "X", "M"]]
match | center (109,  70) | [["M", "M", "S"], ["M", "A", "S"], ["M", "A", "S"]]
match | center (109,  72) | [["S", "M", "M"], ["S", "A", "X"], ["S", "A", "M"]]
match | center (109,  75) | [["S", "M", "S"], ["A", "A", "X"], ["M", "S", "M"]]
match | center (109, 104) | [["M", "M", "S"], ["S", "A", "A"], ["M", "M", "S"]]
match | center (109, 132) | [["M", "A", "S"], ["M", "A", "M"], ["M", "A", "S"]]
match | center (110,   4) | [["M", "X", "M"], ["S", "A", "M"], ["S", "X", "S"]]
match | center (110,   9) | [["S", "M", "M"], ["A", "A", "S"], ["S", "A", "M"]]
match | center (110,  25) | [["S", "M", "S"], ["S", "A", "A"], ["M", "X", "M"]]
match | center (110,  27) | [["S", "M", "S"], ["A", "A", "M"], ["M", "S", "M"]]
match | center (110,  41) | [["S", "X", "M"], ["S", "A", "A"], ["S", "X", "M"]]
match | center (110,  79) | [["S", "X", "S"], ["X", "A", "X"], ["M", "S", "M"]]
match | center (110,  81) | [["S", "A", "S"], ["X", "A", "M"], ["M", "X", "M"]]
match | center (110,  94) | [["S", "M", "M"], ["M", "A", "X"], ["S", "S", "M"]]
match | center (110,  99) | [["S", "M", "S"], ["S", "A", "M"], ["M", "M", "M"]]
match | center (110, 120) | [["S", "M", "M"], ["S", "A", "A"], ["S", "M", "M"]]
match | center (110, 128) | [["S", "A", "M"], ["M", "A", "M"], ["S", "A", "M"]]
match | center (110, 132) | [["M", "A", "M"], ["M", "A", "S"], ["S", "A", "S"]]
match | center (110, 136) | [["S", "M", "S"], ["A", "A", "A"], ["M", "S", "M"]]
match | center (111,   2) | [["M", "A", "S"], ["S", "A", "S"], ["M", "A", "S"]]
match | center (111,  12) | [["M", "M", "M"], ["A", "A", "A"], ["S", "M", "S"]]
match | center (111,  20) | [["S", "M", "S"], ["A", "A", "M"], ["M", "S", "M"]]
match | center (111,  30) | [["M", "S", "S"], ["A", "A", "X"], ["M", "M", "S"]]
match | center (111,  36) | [["M", "M", "M"], ["X", "A", "S"], ["S", "A", "S"]]
match | center (111,  46) | [["M", "X", "S"], ["M", "A", "S"], ["M", "A", "S"]]
match | center (111,  72) | [["S", "A", "M"], ["X", "A", "M"], ["S", "M", "M"]]
match | center (111,  74) | [["M", "M", "S"], ["M", "A", "A"], ["M", "X", "S"]]
match | center (111,  90) | [["M", "X", "S"], ["S", "A", "M"], ["M", "X", "S"]]
match | center (111, 128) | [["M", "A", "M"], ["S", "A", "M"], ["S", "A", "S"]]
match | center (111, 132) | [["M", "A", "S"], ["S", "A", "S"], ["M", "A", "S"]]
match | center (112,   2) | [["S", "A", "S"], ["M", "A", "S"], ["M", "A", "M"]]
match | center (112,   4) | [["S", "X", "S"], ["S", "A", "X"], ["M", "X", "M"]]
match | center (112,   7) | [["S", "M", "S"], ["A", "A", "X"], ["M", "S", "M"]]
match | center (112,  39) | [["M", "A", "S"], ["M", "A", "M"], ["M", "M", "S"]]
match | center (112,  41) | [["S", "X", "M"], ["M", "A", "M"], ["S", "A", "M"]]
match | center (112,  46) | [["M", "A", "S"], ["M", "A", "S"], ["M", "X", "S"]]
match | center (112,  48) | [["S", "M", "M"], ["S", "A", "X"], ["S", "M", "M"]]
match | center (112,  51) | [["M", "M", "S"], ["A", "A", "A"], ["M", "X", "S"]]
match | center (112,  55) | [["S", "M", "M"], ["M", "A", "X"], ["S", "X", "M"]]
match | center (112,  65) | [["S", "A", "S"], ["S", "A", "M"], ["M", "A", "M"]]
match | center (112,  67) | [["S", "X", "S"], ["M", "A", "A"], ["M", "S", "M"]]
match | center (112,  95) | [["S", "M", "M"], ["M", "A", "S"], ["S", "A", "M"]]
match | center (112, 110) | [["M", "X", "S"], ["M", "A", "X"], ["M", "S", "S"]]
match | center (112, 113) | [["M", "X", "S"], ["A", "A", "X"], ["M", "S", "S"]]
match | center (112, 118) | [["S", "M", "S"], ["M", "A", "S"], ["M", "A", "M"]]
match | center (112, 124) | [["M", "M", "S"], ["M", "A", "M"], ["M", "X", "S"]]
match | center (112, 128) | [["S", "A", "M"], ["S", "A", "S"], ["S", "M", "M"]]
match | center (112, 134) | [["S", "M", "M"], ["S", "A", "M"], ["S", "A", "M"]]
match | center (113,   2) | [["M", "A", "S"], ["M", "A", "M"], ["M", "A", "S"]]
match | center (113,  12) | [["S", "M", "S"], ["A", "A", "X"], ["M", "S", "M"]]
match | center (113,  29) | [["M", "M", "M"], ["M", "A", "M"], ["S", "S", "S"]]
match | center (113,  32) | [["S", "A", "M"], ["X", "A", "X"], ["S", "S", "M"]]
match | center (113,  36) | [["S", "A", "S"], ["A", "A", "M"], ["M", "X", "M"]]
match | center (113,  63) | [["M", "M", "S"], ["A", "A", "M"], ["M", "X", "S"]]
match | center (113,  65) | [["S", "A", "M"], ["M", "A", "M"], ["S", "X", "M"]]
match | center (113,  72) | [["S", "M", "M"], ["S", "A", "X"], ["S", "A", "M"]]
match | center (113,  95) | [["M", "A", "S"], ["S", "A", "M"], ["M", "A", "S"]]
match | center (113, 105) | [["M", "A", "S"], ["S", "A", "X"], ["M", "A", "S"]]
match | center (113, 118) | [["M", "A", "S"], ["M", "A", "M"], ["M", "M", "S"]]
match | center (113, 120) | [["S", "X", "M"], ["M", "A", "S"], ["S", "X", "M"]]
match | center (113, 126) | [["M", "M", "S"], ["S", "A", "S"], ["M", "X", "S"]]
match | center (113, 130) | [["S", "A", "M"], ["M", "A", "A"], ["S", "X", "M"]]
match | center (113, 132) | [["M", "A", "S"], ["A", "A", "S"], ["M", "X", "S"]]
match | center (113, 134) | [["S", "A", "M"], ["S", "A", "M"], ["S", "M", "M"]]
match | center (114,   2) | [["M", "A", "M"], ["M", "A", "S"], ["S", "A", "S"]]
match | center (114,   4) | [["M", "X", "M"], ["S", "A", "A"], ["S", "X", "S"]]
match | center (114,  38) | [["M", "M", "M"], ["M", "A", "M"], ["S", "M", "S"]]
match | center (114,  46) | [["M", "X", "S"], ["S", "A", "M"], ["M", "M", "S"]]
match | center (114,  53) | [["S", "S", "S"], ["M", "A", "X"], ["M", "S", "M"]]
match | center (114,  70) | [["M", "M", "S"], ["S", "A", "S"], ["M", "A", "S"]]
match | center (114,  78) | [["M", "M", "M"], ["M", "A", "A"], ["S", "X", "S"]]
match | center (114,  80) | [["M", "M", "M"], ["A", "A", "X"], ["S", "S", "S"]]
match | center (114,  83) | [["S", "A", "M"], ["M", "A", "M"], ["S", "M", "M"]]
match | center (114,  93) | [["M", "M", "S"], ["X", "A", "M"], ["M", "M", "S"]]
match | center (114,  95) | [["S", "A", "M"], ["M", "A", "S"], ["S", "A", "M"]]
match | center (114, 113) | [["M", "S", "S"], ["X", "A", "A"], ["M", "S", "S"]]
match | center (114, 114) | [["S", "S", "M"], ["A", "A", "X"], ["S", "S", "M"]]
match | center (114, 124) | [["M", "X", "S"], ["S", "A", "M"], ["M", "X", "S"]]
match | center (115,  24) | [["M", "X", "S"], ["S", "A", "A"], ["M", "X", "S"]]
match | center (115,  28) | [["S", "S", "S"], ["A", "A", "A"], ["M", "S", "M"]]
match | center (115,  30) | [["S", "S", "S"], ["A", "A", "X"], ["M", "S", "M"]]
match | center (115,  70) | [["S", "A", "S"], ["M", "A", "S"], ["M", "A", "M"]]
match | center (115, 103) | [["S", "X", "M"], ["X", "A", "X"], ["S", "X", "M"]]
match | center (115, 128) | [["S", "X", "S"], ["S", "A", "M"], ["M", "A", "M"]]
match | center (115, 132) | [["M", "X", "S"], ["A", "A", "M"], ["M", "M", "S"]]
match | center (115, 134) | [["S", "M", "M"], ["M", "A", "S"], ["S", "A", "M"]]
match | center (115, 136) | [["M", "M", "S"], ["S", "A", "A"], ["M", "M", "S"]]
match | center (116,   8) | [["S", "X", "S"], ["M", "A", "M"], ["M", "A", "M"]]
match | center (116,  17) | [["S", "M", "M"], ["X", "A", "S"], ["S", "A", "M"]]
match | center (116,  19) | [["M", "A", "S"], ["S", "A", "X"], ["M", "A", "S"]]
match | center (116,  44) | [["M", "S", "M"], ["X", "A", "A"], ["S", "S", "S"]]
match | center (116,  45) | [["S", "M", "M"], ["A", "A", "X"], ["S", "S", "M"]]
match | center (116,  49) | [["M", "X", "M"], ["M", "A", "M"], ["S", "S", "S"]]
match | center (116,  54) | [["S", "M", "M"], ["A", "A", "S"], ["S", "M", "M"]]
match | center (116,  70) | [["M", "A", "S"], ["M", "A", "M"], ["M", "X", "S"]]
match | center (116,  78) | [["S", "X", "S"], ["S", "A", "A"], ["M", "M", "M"]]
match | center (116,  80) | [["S", "S", "S"], ["A", "A", "A"], ["M", "M", "M"]]
match | center (116,  81) | [["S", "S", "S"], ["A", "A", "M"], ["M", "M", "M"]]
match | center (116,  88) | [["M", "M", "M"], ["A", "A", "A"], ["S", "S", "S"]]
match | center (116,  89) | [["M", "M", "M"], ["A", "A", "A"], ["S", "S", "S"]]
match | center (116,  91) | [["M", "S", "M"], ["A", "A", "A"], ["S", "S", "S"]]
match | center (116,  92) | [["S", "M", "M"], ["A", "A", "X"], ["S", "S", "M"]]
match | center (116, 107) | [["S", "X", "M"], ["X", "A", "M"], ["S", "M", "M"]]
match | center (116, 113) | [["M", "S", "S"], ["M", "A", "A"], ["M", "X", "S"]]
match | center (116, 116) | [["M", "M", "S"], ["X", "A", "X"], ["M", "X", "S"]]
match | center (116, 134) | [["M", "A", "S"], ["S", "A", "M"], ["M", "A", "S"]]
